Level,Date and Time,Source,Event ID,Task Category,Log Message
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-TPM-WMI,1038,,"Pre-attestation health checks confirm that the device is expected to pass attestation.
 Please see C:\WINDOWS\Logs\MeasuredBoot\0000000216-0000000001.json for detailed information on what checks were made."
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-TPM-WMI,1041,,"Pre-attestation health check detailed information: {""Version"":1,""HealthStatus"":""Attestable"",""Required"":[{""Field"":""TpmPresent"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmMeetsMinimumVersion"",""Value"":true,""DesiredValue"":true},{""Field"":""TpmIsResponsive"",""Value"":true,""DesiredValue"":true},{""Field"":""EkCertIsAvailable"",""Value"":true,""DesiredValue"":true},{""Field"":""TcgLogFound"",""Value"":true,""DesiredValue"":true}],""Expected"":[{""Field"":""PcrsMatchTcgLog"",""Value"":true,""DesiredValue"":true}],""Informational"":[{""Field"":""SecureBootEnabled"",""ValueFromComputer"":true,""ValueFromTcgLog"":true,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""VirtualSecureMemory"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true},{""Field"":""SecureCorePCCompliant"",""ValueFromComputer"":false,""ValueFromTcgLog"":false,""DesiredValue"":true,""TcgValueIsVerifiable"":true}]}"
Information,4/4/2025 3:09:43 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,4/4/2025 3:09:43 PM,Microsoft-Windows-BitLocker-Driver,24711,,"A V2 TPM protector was used to start Windows.
Binding ID: {0c18d157-6069-42d4-be56-6aa9feca333f}."
Information,4/4/2025 3:09:43 PM,Microsoft-Windows-BitLocker-Driver,24709,,This event contains the boot-time final TPM PCR values and TCG log data.
Information,4/4/2025 3:09:43 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2025‎-‎04‎-‎04T09:39:43.500000000Z from ‎2025‎-‎04‎-‎04T08:36:56.287692100Z.
Time Delta: 3767212 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2025‎-‎04‎-‎04T15:09:43.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,4/4/2025 2:06:56 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,4/4/2025 2:06:55 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Hibernate from Sleep - Standby Battery Budget Exceeded"
Information,4/4/2025 2:06:41 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,4/4/2025 2:06:35 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 4 to 5.

Reason SxTransition 

BootId: 48"
Information,4/4/2025 2:06:35 PM,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,4/4/2025 2:06:35 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Connected, Reason: None"
Information,4/4/2025 2:06:35 PM,EventLog,6013,,The system uptime is 19115 seconds.
Information,4/4/2025 9:25:46 AM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: Policy Setting"
Information,4/4/2025 9:25:39 AM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 3 to 4.

Reason 55 

BootId: 48"
Information,4/4/2025 9:25:34 AM,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
Information,4/4/2025 9:25:34 AM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 2 to 3.

Reason 55 

BootId: 48"
Information,4/4/2025 9:25:34 AM,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
Information,4/4/2025 8:48:36 AM,Microsoft-Windows-TPM-WMI,1025,,The TPM was successfully provisioned and is now ready for use.
Information,4/4/2025 8:48:33 AM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby"
Information,4/4/2025 8:48:27 AM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 1 to 2.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 8:48:27 AM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 0 to 1.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 8:48:23 AM,Microsoft-Windows-TPM-WMI,1282,,The TBS device identifier has been generated.
Information,4/4/2025 8:48:21 AM,TPM,18,,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,4/4/2025 8:48:17 AM,Microsoft-Windows-FilterManager,6,,"File System Filter 'gameflt' (10.0, ‎2009‎-‎11‎-‎23T00:41:52.000000000Z) has successfully loaded and registered with Filter Manager."
Information,4/4/2025 8:48:14 AM,vmx86,34,,"The description for Event ID 34 from source vmx86 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

VMX86.SYS: begin DriverEntry

The message resource is present but the message was not found in the message table
"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-WLAN-AutoConfig,10001,,"WLAN Extensibility Module has successfully started.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-WLAN-AutoConfig,4000,,"WLAN AutoConfig service has successfully started.
"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-IsolatedUserMode,1,,Secure Trustlet \??\C:\WINDOWS\System32\NgcIso.exe Id 6 and Pid 5564 started with status STATUS_SUCCESS.
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-IsolatedUserMode,5,,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:3387/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,4/4/2025 8:48:14 AM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
